Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
2824000.0 ; 2.067287
2826000.0 ; 2.070187
2828000.0 ; 2.075587
2830000.0 ; 2.082487
2835000.0 ; 2.102887
2840000.0 ; 2.126487
2845000.0 ; 2.152187
2850000.0 ; 2.180087
2855000.0 ; 2.210187
2860000.0 ; 2.242487
2865000.0 ; 2.277387
2870000.0 ; 2.314887
2875000.0 ; 2.355487
2880000.0 ; 2.399387
2885000.0 ; 2.446987
2890000.0 ; 2.498687
2895000.0 ; 2.554787
2900000.0 ; 2.615687
2905000.0 ; 2.681787
2910000.0 ; 2.753187
2915000.0 ; 2.829587
2920000.0 ; 2.910287
2924000.0 ; 2.976787
2928000.0 ; 3.043186
2932000.0 ; 3.106686
2936000.0 ; 3.163286
2940000.0 ; 3.206986
2944000.0 ; 3.229686
2948000.0 ; 3.221186
2952000.0 ; 3.170686
2956000.0 ; 3.068586
2960000.0 ; 2.910586
2964000.0 ; 2.701286
2968000.0 ; 2.455686
2972000.0 ; 2.195986
2976000.0 ; 1.945786
2980000.0 ; 1.723486
2984000.0 ; 1.539486
2988000.0 ; 1.396186
2992000.0 ; 1.290786
2996000.0 ; 1.217586
3000000.0 ; 1.170386
3010000.0 ; 1.129486
3020000.0 ; 1.150286
3030000.0 ; 1.197586
3040000.0 ; 1.254686
3050000.0 ; 1.313986
3053000.0 ; 1.331586
3060000.0 ; 1.372485
3080000.0 ; 1.482485
3100000.0 ; 1.582585
3120000.0 ; 1.674385
3140000.0 ; 1.759885
3160000.0 ; 1.840385
3180000.0 ; 1.917085
3200000.0 ; 1.990385
3220000.0 ; 2.060884
3240000.0 ; 2.128484
3260000.0 ; 2.193184
3280000.0 ; 2.254884
3300000.0 ; 2.313184
3320000.0 ; 2.367784
3340000.0 ; 2.418284
3360000.0 ; 2.464384
3380000.0 ; 2.505783
3400000.0 ; 2.541983
3420000.0 ; 2.572883
3440000.0 ; 2.598383
3460000.0 ; 2.618183
3480000.0 ; 2.632383
3500000.0 ; 2.640983
3520000.0 ; 2.644183
3540000.0 ; 2.642182
3553000.0 ; 2.637682
3560000.0 ; 2.635282
3580000.0 ; 2.623782
3600000.0 ; 2.608082
3620000.0 ; 2.588482
3640000.0 ; 2.565382
3660000.0 ; 2.539282
3680000.0 ; 2.510481
3700000.0 ; 2.479481
3720000.0 ; 2.446481
3740000.0 ; 2.411981
3760000.0 ; 2.376181
3780000.0 ; 2.339381
3800000.0 ; 2.30188
3820000.0 ; 2.26388
3840000.0 ; 2.22568
3860000.0 ; 2.18738
3880000.0 ; 2.14908
3900000.0 ; 2.11118
3920000.0 ; 2.073579
